klaster,shape ratio
1,0.726
1,0.712
1,0.671
1,0.517
1,0.688
1,0.636
1,0.422
1,0.714
1,0.744
1,0.753
1,0.569
1,0.770
1,0.650
1,0.724
1,0.849
1,0.559
1,0.802
1,0.783
1,0.622
1,0.657
1,0.809
1,0.680
1,0.678
1,0.783
1,0.715
1,0.755
1,0.627
1,0.657
1,0.710
1,0.680
1,0.699
1,0.811
1,0.867
1,0.700
1,0.790
1,0.764
1,0.577
1,0.844
1,0.732
1,0.729
1,0.506
1,0.759
1,0.571
1,0.588
1,0.724
1,0.773
1,0.767
1,0.781
1,0.709
1,0.819
1,0.682
1,0.733
1,0.695
1,0.858
1,0.669
1,0.804
1,0.751
1,0.503
1,0.791
1,0.695
1,0.555
1,0.854
1,0.772
1,0.683
1,0.492
1,0.806
1,0.643
1,0.754
1,0.594
1,0.817
1,0.830
1,0.831
1,0.720
1,0.657
1,0.703
1,0.813
1,0.675
1,0.607
1,0.678
1,0.730
1,0.867
1,0.717
1,0.791
1,0.738
1,0.825
1,0.765
1,0.599
1,0.585
1,0.782
1,0.602
1,0.753
1,0.807
1,0.638
1,0.782
1,0.687
1,0.821
1,0.521
1,0.750
1,0.884
1,0.728
1,0.624
1,0.515
1,0.875
1,0.844
1,0.639
1,0.627
1,0.730
1,0.484
1,0.526
1,0.723
1,0.757
1,0.663
1,0.680
1,0.607
1,0.881
1,0.664
1,0.741
1,0.848
1,0.607
1,0.703
1,0.837
1,0.862
1,0.701
1,0.791
1,0.728
1,0.641
1,0.851
1,0.732
1,0.782
1,0.669
1,0.691
1,0.779
1,0.667
1,0.821
1,0.766
1,0.507
1,0.726
1,0.673
1,0.470
1,0.766
1,0.351
1,0.718
1,0.749
1,0.663
1,0.433
1,0.592
1,0.889
1,0.782
1,0.625
1,0.725
1,0.837
1,0.790
1,0.746
1,0.739
1,0.669
1,0.614
1,0.895
1,0.624
1,0.764
1,0.377
1,0.766
1,0.705
1,0.777
1,0.736
1,0.761
1,0.759
1,0.519
1,0.609
1,0.673
1,0.752
1,0.710
1,0.893
1,0.756
1,0.874
1,0.658
1,0.831
1,0.779
1,0.621
1,0.668
1,0.854
1,0.690
1,0.811
1,0.592
1,0.721
1,0.802
1,0.561
1,0.776
1,0.752
1,0.725
1,0.846
1,0.796
1,0.773
1,0.738
1,0.705
1,0.866
1,0.754
1,0.892
1,0.726
1,0.756
1,0.688
1,0.730
1,0.731
1,0.818
1,0.658
1,0.652
1,0.369
1,0.585
1,0.797
1,0.828
1,0.559
1,0.730
1,0.604
1,0.469
1,0.606
1,0.816
1,0.758
1,0.784
1,0.627
1,0.752
1,0.668
1,0.793
1,0.408
1,0.706
1,0.524
1,0.868
1,0.745
1,0.737
1,0.831
1,0.819
1,0.765
1,0.773
1,0.793
1,0.705
1,0.702
1,0.776
1,0.639
1,0.767
1,0.733
1,0.798
1,0.782
1,0.639
1,0.689
1,0.852
1,0.742
1,0.613
1,0.682
1,0.829
1,0.801
1,0.504
1,0.651
2,0.623
2,0.763
2,0.783
2,0.635
2,0.599
2,0.690
2,0.682
2,0.745
2,0.757
2,0.766
2,0.461
2,0.704
2,0.622
2,0.552
2,0.782
2,0.775
2,0.458
2,0.706
2,0.624
2,0.645
2,0.713
2,0.540
2,0.667
2,0.623
2,0.717
2,0.462
2,0.743
2,0.859
2,0.646
2,0.756
2,0.616
2,0.618
2,0.888
2,0.801
2,0.607
2,0.591
2,0.826
2,0.671
2,0.384
2,0.546
2,0.653
2,0.446
2,0.621
2,0.713
2,0.691
2,0.686
2,0.642
2,0.622
2,0.665
2,0.685
2,0.673
2,0.769
2,0.726
2,0.652
2,0.420
2,0.627
2,0.684
2,0.578
2,0.744
2,0.795
2,0.676
2,0.703
2,0.624
2,0.694
2,0.589
2,0.796
2,0.344
2,0.647
2,0.636
2,0.682
2,0.825
2,0.710
2,0.645
2,0.502
2,0.743
2,0.488
2,0.769
2,0.381
2,0.641
2,0.463
2,0.635
2,0.596
2,0.664
2,0.283
2,0.577
2,0.752
2,0.414
2,0.751
2,0.682
2,0.753
2,0.700
2,0.859
2,0.692
2,0.405
2,0.410
2,0.687
2,0.661
2,0.759
2,0.574
2,0.469
2,0.546
2,0.653
2,0.673
2,0.655
2,0.736
2,0.640
2,0.698
2,0.801
2,0.753
2,0.512
2,0.531
2,0.683
2,0.665
2,0.678
2,0.815
2,0.656
2,0.638
2,0.681
2,0.630
2,0.688
2,0.630
2,0.721
2,0.713
2,0.532
2,0.776
2,0.807
2,0.711
2,0.827
2,0.492
2,0.636
2,0.611
2,0.746
2,0.744
2,0.737
2,0.545
2,0.827
2,0.622
2,0.623
2,0.663
2,0.608
2,0.646
2,0.768
2,0.494
2,0.497
2,0.591
2,0.595
2,0.596
2,0.748
2,0.546
2,0.839
2,0.651
2,0.724
2,0.565
2,0.725
2,0.646
2,0.610
2,0.551
2,0.511
2,0.644
2,0.480
2,0.617
2,0.728
2,0.816
2,0.574
2,0.618
2,0.596
2,0.624
2,0.679
2,0.730
2,0.710
2,0.668
2,0.732
2,0.660
2,0.673
2,0.504
2,0.486
2,0.629
2,0.773
2,0.702
2,0.572
2,0.715
2,0.674
2,0.705
2,0.528
2,0.873
2,0.617
2,0.634
2,0.734
2,0.521
2,0.641
2,0.516
2,0.636
2,0.625
2,0.650
2,0.480
2,0.574
2,0.538
2,0.721
2,0.610
2,0.746
2,0.796
2,0.620
2,0.619
2,0.682
2,0.719
2,0.619
2,0.593
2,0.628
2,0.777
2,0.767
2,0.701
2,0.778
2,0.816
2,0.628
2,0.605
2,0.730
2,0.719
2,0.664
2,0.538
2,0.591
2,0.830
2,0.405
2,0.702
2,0.663
2,0.510
2,0.545
2,0.663
2,0.707
2,0.585
2,0.647
2,0.528
2,0.840
2,0.664
2,0.695
2,0.323
2,0.595
2,0.520
2,0.806
2,0.572
2,0.670
2,0.777
2,0.659
2,0.734
2,0.735
2,0.576
2,0.524
2,0.583
2,0.599
2,0.686
2,0.569
3,0.636
3,0.641
3,0.630
3,0.778
3,0.620
3,0.507
3,0.431
3,0.859
3,0.791
3,0.627
3,0.905
3,0.784
3,0.777
3,0.827
3,0.618
3,0.820
3,0.617
3,0.553
3,0.661
3,0.490
3,0.696
3,0.822
3,0.668
3,0.688
3,0.582
3,0.772
3,0.628
3,0.701
3,0.739
3,0.640
3,0.609
3,0.692
3,0.720
3,0.695
3,0.610
3,0.626
3,0.549
3,0.714
3,0.630
3,0.671
3,0.710
3,0.598
3,0.731
3,0.574
3,0.801
3,0.592
3,0.660
3,0.593
3,0.731
3,0.527
3,0.599
3,0.677
3,0.693
3,0.668
3,0.613
3,0.674
3,0.792
3,0.370
3,0.758
3,0.444
3,0.732
3,0.705
3,0.625
3,0.615
3,0.634
3,0.705
3,0.653
3,0.601
3,0.895
3,0.716
3,0.726
3,0.748
3,0.608
3,0.824
3,0.687
3,0.792
3,0.787
3,0.577
3,0.665
3,0.708
3,0.566
3,0.645
3,0.701
3,0.816
3,0.644
3,0.674
3,0.563
3,0.682
3,0.560
3,0.732
3,0.713
3,0.812
3,0.745
3,0.664
3,0.351
3,0.624
3,0.611
3,0.722
3,0.520
3,0.602
3,0.819
3,0.772
3,0.475
3,0.793
3,0.762
3,0.879
3,0.706
3,0.676
3,0.741
3,0.668
3,0.652
3,0.659
3,0.722
3,0.643
3,0.769
3,0.722
3,0.882
3,0.669
3,0.804
3,0.784
3,0.578
3,0.665
3,0.747
3,0.764
3,0.780
3,0.561
3,0.762
3,0.750
3,0.689
3,0.495
3,0.636
3,0.640
3,0.576
3,0.529
3,0.701
3,0.680
3,0.599
3,0.599
3,0.561
3,0.745
3,0.769
3,0.772
3,0.635
3,0.355
3,0.496
3,0.785
3,0.761
3,0.717
3,0.710
3,0.801
3,0.754
3,0.719
3,0.552
3,0.425
3,0.624
3,0.615
3,0.661
3,0.772
3,0.821
3,0.676
3,0.710
3,0.700
3,0.625
3,0.541
3,0.733
3,0.653
3,0.474
3,0.784
3,0.659
3,0.794
3,0.636
3,0.781
3,0.561
3,0.671
3,0.719
3,0.703
3,0.772
3,0.668
3,0.689
3,0.482
3,0.755
3,0.511
3,0.593
3,0.731
3,0.641
3,0.746
3,0.672
3,0.805
3,0.632
3,0.709
3,0.796
3,0.831
3,0.586
3,0.780
3,0.619
3,0.726
3,0.620
3,0.744
3,0.767
3,0.746
3,0.762
3,0.804
3,0.837
3,0.480
3,0.663
3,0.663
3,0.807
3,0.606
3,0.702
3,0.759
3,0.627
3,0.438
3,0.924
3,0.806
3,0.716
3,0.651
3,0.549
3,0.715
3,0.722
3,0.681
3,0.696
3,0.700
3,0.752
3,0.763
3,0.525
3,0.502
3,0.744
3,0.669
3,0.671
3,0.745
3,0.724
3,0.524
3,0.826
3,0.476
3,0.631
3,0.736
3,0.877
3,0.641
3,0.766
3,0.715
3,0.409
3,0.483
3,0.576
3,0.576
3,0.608
3,0.629
3,0.857
3,0.843
3,0.613
3,0.729