x,y,east_velocity,north_velocity,east_sigma,north_sigma,correlation_EN,SITE
125.45,-7.87,38.81,59.40,0,0,0,AU(BS)
125.21,-6.84,23.08,-11.14,0,0,0,EU(TI)
119.770000,-1.230000,24.48,-9.86,0,0,0,EU(MS)
120.290000,0.780000,24.97,-9.99,0,0,0,EU(BS)
122.060000,-2.620000,24.15,-10.41,0,0,0,EU(MS)
122.430000,-2.070000,24.29,-10.50,0,0,0,EU(BS)
125.840000,1.490000,30.84,-14.93,0,0,0,SU(BH)
126.720000,1.080000,-30.70,15.23,0,0,0,BH(SU)
120.280000,1.260000,-30.80,12.98,0,0,0,MS(SU)
119.110000,2.780000,31.33,-12.56,0,0,0,SU(MS)
122.740000,3.180000,31.42,-13.86,0,0,0,SU(MS)
122.620000,1.340000,-30.81,13.82,0,0,0,MS(SU)