Lon,Lat,V_lon,V_lat,S_lat,S_lon,Corr,Site
102.791,25.027,32.72,-17.55,1.2,1.4,0.012,KUNG
93.897,21.383,31.57,21.86,1.26,1.96,-0.051,MIND
107.313,20.999,35.31,-11.1,0.72,0.99,0.014,CAMP
97.094,20.75,29.61,-6.48,1.23,1.81,-0.059,TAUN
98.973,18.771,31.89,-5.83,0.31,0.44,-0.003,CHMI
120.601,18.52,-48.73,9.42,0.71,0.95,-0.037,LAOA
99.371,18.335,31.36,-5.2,0.25,0.42,-0.059,OTRI
102.747,17.865,32.6,-8.92,0.96,1.53,0.008,NNKI
94.537,17.692,38.28,25.91,1.49,2.04,-0.035,LAUN
99.862,17.161,32.43,-5.98,0.89,1.16,0.003,SISM
97.715,16.938,31.63,-3.74,1.24,1.67,-0.031,HPAA
108.263,16.004,32.67,-9.84,0.79,1.17,-0.024,NONN
100.122,15.673,32.17,-2.41,1.04,1.7,-0.065,NAKH
100.013,15.384,33.72,-6.88,0.32,0.43,0.006,UTHA
104.871,15.245,32.88,-9.06,0.64,0.87,0.038,UBRT
104.416,14.901,32.8,-8.78,0.32,0.45,-0.007,SRIS
100.607,13.668,33.7,-6.13,0.3,0.46,0.028,BNKK
124.337,13.566,-18.33,36.74,1.26,1.78,-0.057,VIRA
101.045,13.121,32.3,-6.53,0.28,0.42,-0.011,CHON
101.033,12.764,31.83,-7.22,2.96,4.56,-0.009,RYNG
122.732,10.968,21.72,5.34,1.13,1.4,-0.05,ILOI
99.076,10.61,33.62,-4.39,0.28,0.47,0.064,BANH
118.851,10.086,32.04,-13.56,0.71,1,-0.032,PUER
125.575,9.647,-16.65,20.35,2.8,4.45,-0.122,SURI
98.308,8.105,33.49,-1.83,0.37,0.57,-0.036,PHKT
98.304,7.759,32.98,-3.05,0.26,0.41,-0.007,PHUK
125.508,7.084,-21.86,-5.68,0.68,1.05,-0.021,DAVA
122.073,6.973,19.94,-11.5,0.84,1.35,-0.088,ZAMB
101.097,6.733,28.87,-6.45,4.36,6.91,-0.006,PATN
100.28,6.45,32.71,-4.44,0.47,0.57,0.032,ARAU
102.105,6.226,31.91,-6.2,0.41,0.56,-0.023,GETI
116.039,5.905,24.59,-12.6,0.42,0.66,0.02,KINA
118.121,5.842,26.28,-14.92,0.47,0.69,0.014,SAND
100.304,5.358,32.46,-5.03,0.77,1.01,0.001,USMP
103.139,5.319,30.93,-7.63,0.28,0.36,-0.017,KUAL
115.245,5.283,24.38,-12.89,0.4,0.61,-0.027,LABU
115.031,4.966,28.66,-10.65,2.1,3.3,-0.033,BRUN
101.126,4.588,31.36,-4.67,0.42,0.57,-0.085,IPOH
114.002,4.372,25.99,-10.79,0.41,0.58,-0.029,MIRI
117.882,4.263,22.44,-15.21,0.37,0.56,-0.053,TAWX
117.979,4.251,24.31,-16.51,0.4,0.62,-0.019,TAWA
103.35,3.834,30.64,-5.71,0.4,0.52,-0.079,KUAN
101.517,3.765,30.01,-4.53,0.98,1.28,-0.02,BEHR
98.715,3.622,32.15,0.22,0.36,0.57,0.062,SAMP
98.638,3.555,34.76,-1.15,0.75,1.16,0.002,MEDA
113.067,3.262,26.69,-12.85,0.47,0.71,-0.022,BINT
101.718,3.171,30.8,-5.46,0.43,0.57,-0.012,KTPK
102.732,2.486,30.74,-5.1,0.64,0.84,-0.021,SEGA
111.843,2.27,21.11,-12.83,2.07,3.09,-0.018,SIBU
110.195,1.632,27.1,-10.82,0.44,0.6,0.011,KUCH
103.64,1.566,29.44,-8.14,0.43,0.59,-0.026,UTMJ
125.064,1.331,20.87,-6.37,1.45,2.58,0.036,MANA
125.064,1.331,23.12,-8,1.44,1.75,0.079,KEMA
120.863,1.318,21.51,25.07,1.79,3.16,-0.025,LING
120.794,1.121,18.53,22.49,0.45,0.82,0.003,TOLI
108.891,0.863,29.83,-9.2,0.95,1.26,0.008,TABA
127.342,0.86,-53.99,14.91,0.86,1.42,-0.02,TERN
97.82,0.571,31.44,25.62,0.79,1.38,-0.013,TEDA
117.641,0.558,23.53,-12.25,0.43,0.68,-0.003,TNJB
120.434,0.482,14.41,35.07,1.52,2.34,-0.009,PALA
120.85,0.453,17.61,28.33,0.37,0.58,-0.018,TOMI
120.005,-0.248,15.36,26.6,0.95,1.44,-0.042,DONG
120.095,-0.709,14.95,23.47,0.53,0.67,0.015,TOBP
120.095,-0.709,16.74,21.8,0.53,0.7,-0.01,TOBO
119.587,-0.874,19.34,-3.03,0.51,0.66,0.002,WATP
119.587,-0.874,21.57,-4.88,0.6,0.76,-0.004,WATA
119.837,-0.906,18.89,4.12,1.1,1.34,-0.007,P14P
119.906,-0.916,18.7,9.3,0.92,1.15,-0.014,PALP
120.428,-1.007,15.53,28.27,0.76,0.9,0.056,SULI
121.436,-1.01,-4.95,13.97,1.23,2,0.073,AMPA
122.772,-1.04,-2.51,15.93,1.53,2.74,0.005,LUWU
136.248,-1.167,-11.5,89.46,1.14,1.72,-0.06,BIAK
116.815,-1.272,25.76,-13.08,0.44,0.73,-0.019,BLKP
120.316,-1.424,12.22,8.44,0.33,0.45,0.005,WUAS
119.46,-1.427,22.19,-8.64,0.58,0.82,-0.031,BARA
120.011,-1.512,11.02,5.65,1.51,1.81,0.157,SUNG
119.382,-1.855,14.48,-4.81,1.61,2.02,-0.024,LARA
106.176,-1.881,28.74,-9.21,0.72,1.11,-0.083,TANJ
120.904,-1.908,2.88,8.92,1.47,2.2,-0.02,KAMB
125.991,-2.048,-13.45,17.28,1.05,1.77,-0.008,SANA
120.905,-2.595,20.12,-0.58,0.63,1.12,-0.058,MALI
120.367,-3.539,23.9,-4.31,0.68,0.94,0.005,REDO
128.117,-3.775,13.89,19.78,0.9,1.85,0.005,AMBO
102.252,-3.786,27.36,14.24,0.45,0.68,-0.016,BENG
114.791,-3.867,26.41,-10.81,0.7,1.06,-0.027,BATU
119.65,-3.978,23.92,-7.28,0.35,0.53,-0.019,PARE
138.952,-4.042,30.55,54.52,0.81,1.58,-0.056,WAME
122.736,-4.227,24.23,8.28,2.81,5.14,0.054,KEND
121.489,-4.582,26.83,-0.08,0.21,0.3,0.001,TOAR
119.581,-5.154,27.85,-5.85,0.41,0.6,-0.024,UJPD
122.795,-5.471,28.77,8.28,0.69,0.9,-0.043,BAUB
110.208,-7.635,28.98,-8.36,0.21,0.31,-0.095,BUTU
125.739,-8.059,39.55,39.19,0.58,0.87,-0.015,LIRA
114.68,-8.147,27.39,-8.99,0.25,0.37,-0.016,BALI
121.766,-8.707,31.47,28.28,0.7,1.04,-0.03,ENDE
124.28,-9.776,38.31,36.3,0.36,0.51,0,KAPA
