date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
08-01-2010,08:15:26.0,-0.616737,119.93924,14.008,5.1336,179,58,-3,270,88,-148,,C,,,,,,
17-02-2010,01:49:14.0,-0.528614,119.828659,14.803,4.93146,97,69,166,192,77,22,,B,,,,,,
18-03-2010,16:16:15.0,-1.640637,120.598969,14.184,4.72932,202,76,170,295,80,15,,B,,,,,,
26-03-2010,09:12:49.0,-1.341562,120.30574,8.141,4.62825,44,80,-169,312,80,-11,,A,,,,,,
11-04-2010,17:19:24.0,-0.557012,119.815125,35.988,4.32504,270,83,161,3,71,7,,B,,,,,,
14-05-2010,04:44:20.0,-1.259143,1227107.0,6.974,3.83011,61,45,-176,328,87,-45,,B,,,,,,
16-05-2010,08:40:21.0,-1.228655,1206439.0,13.653,3.90484,147,83,24,54,66,173,,B,,,,,,
17-05-2010,16:19:06.0,-1.233073,119.971001,12.409,3.90484,228,46,138,350,61,52,,B,,,,,,
31-05-2010,05:07:29.0,-1.221765,119.940689,12.324,3.97957,311,37,-55,90,61,-113,,D,,,,,,
24-07-2010,23:51:12.0,-1.431268,120.630295,45.347,5.23467,328,60,-7,62,84,-150,,C,,,,,,
25-07-2010,05:26:27.0,-1.318344,120.517693,25.426,4.1229,335,50,-73,130,43,-109,,D,,,,,,
25-07-2010,06:22:43.0,-1.29005,1227367.0,9.959,3.97957,55,82,58,313,33,166,,D,,,,,,
25-07-2010,13:04:49.0,-1.297497,120.485153,38.493,4.42611,299,54,-15,38,78,-143,,C,,,,,,
30-07-2010,14:26:28.0,-0.350802,119.949844,6.201,4.1229,113,81,166,206,76,9,,B,,,,,,
20-08-2010,07:37:13.0,-1.357057,120.441887,11.781,4.22397,337,81,-170,246,80,-9,,B,,,,,,
20-08-2010,07:52:56.0,-1.328992,120.504349,7.302,4.62825,61,30,87,245,60,92,,C,,,,,,
08-10-2010,17:57:47.0,-1.278813,119.963051,8.91,3.97957,133,34,-92,315,56,-89,,D,,,,,,
31-10-2010,09:21:33.0,-1.332952,126929.0,8.533,3.97957,109,74,117,222,31,33,,C,,,,,,
20-11-2010,11:50:32.0,-0.489867,119.907471,9.997,4.32504,249,56,-85,59,35,-98,,B,,,,,,
20-12-2010,20:09:37.0,-1.740185,120.141129,7.77,4.42611,135,26,18,28,82,115,,C,,,,,,
20-12-2010,20:11:17.0,-1.762951,120.170921,20.547,4.62825,115,64,-1,205,89,-154,,B,,,,,,
22-12-2010,12:40:42.0,-1.219452,120.225754,8.23,4.22397,348,90,-42,78,42,-180,,D,,,,,,
09-02-2011,11:40:08.0,-0.583092,119.722183,10.447,4.62825,318,60,112,99,37,57,,D,,,,,,
23-05-2011,06:50:43.5,-1.455021,120.337196,9.947,4.83039,302,53,-75,98,40,-108,,B,,,,,,
13-06-2011,08:40:18.5,-0.206829,119.864578,8.476,5.23467,89,79,-159,354,70,-12,,B,,,,,,
24-07-2011,05:26:29.2,-1.435372,119.925499,9.068,3.97957,171,62,44,56,52,144,,C,,,,,,
20-08-2011,11:35:31.5,-0.236531,119.928932,8.524,4.32504,326,29,-64,117,64,-104,,C,,,,,,
13-10-2011,11:25:08.1,-0.55416,119.733627,9.549,4.83039,289,58,20,188,73,146,,B,,,,,,
27-12-2011,10:33:40.5,-1.502958,120.479225,31.942,4.93146,205,62,-172,111,83,-28,,B,,,,,,
09-01-2012,05:13:53.1,-1.50228,120.480766,8.521,4.83039,238,79,165,331,75,12,,B,,,,,,
08-11-2012,09:37:22.3,-0.282633,119.725731,7.704,4.42611,228,79,101,4,15,47,,B,,,,,,
22-10-2013,18:17:51.5,-0.174069,119.760063,9.787,3.90484,28,67,49,274,46,147,,A,,,,,,
15-07-2014,02:37:58.6,-0.321845,119.741043,27.957,5.23467,193,65,114,326,34,49,,B,,,,,,
07-08-2014,13:51:34.3,-1.745259,1233882.0,5.645,4.62825,38,76,-179,308,89,-14,,C,,,,,,
15-06-2015,11:03:47.4,-0.262644,119.873291,10.709,4.22397,81,84,149,174,60,7,,C,,,,,,
08-12-2015,18:18:51.1,-1.52653,1285327.0,6.73,3.90484,259,80,-167,167,77,-10,,C,,,,,,
10-12-2015,05:13:47.4,-1.559848,120.103577,8.282,3.83011,55,33,-59,200,62,-108,,D,,,,,,
13-01-2016,06:23:19.2,-0.532793,119.897263,8.131,4.22397,340,73,-34,81,58,-159,,D,,,,,,
19-02-2016,01:59:33.1,-0.701716,119.747696,15.817,4.1229,51,88,-115,316,26,-5,,C,,,,,,
22-02-2016,06:08:35.1,-1.551604,1284099.0,5.729,3.90484,175,46,45,50,60,126,,C,,,,,,
29-02-2016,14:10:53.6,-1.417583,120.420143,13.707,4.62825,251,89,138,341,48,1,,B,,,,,,
23-03-2016,10:49:45.6,-0.485021,119.972,17.363,4.42611,282,64,-118,153,37,-46,,B,,,,,,
30-03-2016,10:56:40.1,-0.292264,119.893631,21.431,3.90484,266,39,-178,175,89,-51,,D,,,,,,
02-06-2016,22:11:00.5,-0.595984,119.836433,5.851,4.42611,32,41,56,254,57,116,,C,,,,,,
12-07-2016,01:37:14.7,-0.975401,119.963463,6.479,3.83011,292,36,78,126,55,98,,D,,,,,,
08-10-2016,15:40:58.5,-1.651443,120.151146,8.22,3.83011,45,46,65,258,49,113,,D,,,,,,
27-11-2016,23:40:26.6,-0.190017,119.73848,11.185,3.83011,228,47,79,64,44,102,,B,,,,,,
19-12-2016,10:38:36.8,-0.189368,119.888443,6.29,3.83011,88,87,170,179,83,3,,A,,,,,,
21-12-2016,22:32:45.3,-1.019967,120.185646,8.236,4.1229,31,39,-101,225,52,-81,,C,,,,,,
10-05-2017,20:04:21.7,-0.168182,119.813538,10.112,3.83011,242,52,-111,93,43,-66,,B,,,,,,
19-07-2017,14:56:16.3,-0.367061,119.939613,36.669,4.1229,181,67,-1,271,89,-157,,B,,,,,,
06-10-2017,09:23:40.6,-0.47373,119.868988,10.933,4.93146,159,55,-24,263,71,-143,,B,,,,,,
06-12-2017,16:42:47.9,-0.515345,119.85952,9.206,3.97957,75,35,85,261,55,94,,C,,,,,,
17-01-2018,04:25:50.7,-0.459472,119.858795,8.32,4.32504,101,34,-93,284,56,-88,,B,,,,,,
01-03-2018,05:14:26.7,-0.231089,119.876663,13.106,4.83039,177,45,-18,280,77,-133,,A,,,,,,
01-03-2018,05:30:28.3,-0.216121,119.869492,18.928,4.1229,217,37,86,42,53,93,,D,,,,,,
01-03-2018,06:11:10.2,-0.152682,119.788582,30.313,4.42611,51,71,56,296,38,149,,A,,,,,,
21-09-2018,23:20:35.3,-0.905477,119.705032,58.984,5.23467,237,85,138,332,48,7,,B,,,,,,
28-09-2018,07:00:01.2,-0.34243,119.748436,9.473,6.1,272,85,165,3,75,5,,B,,,,,,
28-09-2018,07:50:43.8,-0.192426,119.771126,6.336,4.7,183,59,-4,276,87,-149,,B,,,,,,
28-09-2018,08:25:00.0,-0.337766,119.803528,7.021,5.3,102,86,179,192,89,4,,B,,,,,,
28-09-2018,09:11:14.0,-0.379107,119.871353,9.31,4.62825,161,83,42,65,49,171,,D,,,,,,
